requirement_ru,stack,skills
"Понимание принципов работы БД: практический опыт с PostgreSQL и готовность работать с Tarantool","postgresql|tarantool","базы данных"
"Навыки работы с системами мониторинга (умение не просто смотреть на графики, а понимать зависимости метрик)",,"мониторинг"
"Умение анализировать код на базовом уровне и читать логи приложений",,"анализ кода|чтение логов"
"Администрирования MS Server MSSQL, MongoDB","ms server|ms sql|mongodb","администрирование"
"Jenkins, Git, Jira","jenkins|git|jira",
"Уверенные навыки администрирования Linux","linux","администрирование"
"PostgreSQL","postgresql",
"Опыт внедрения CI/CD",,"ci/cd|внедрение"
"Мониторинг Zabbix, ELK","zabbix|elk","мониторинг"
"Qurator, Nginx","qurator|nginx",
"К8s, Docker","k8s|docker",
"Опыт внедрения решений на базе SAP PP или Global ERP в роли консультанта по производству","sap pp|global erp","внедрение|консультант по производству"
"Опыт настройки процессов производства в ERP для металлургии","erp","настройка процессов производства|металлургия"
"Опыт отладки кода программ на Java","java","отладка кода"
"Опыт миграции данных из SAP S/4 HANA","sap s/4 hana","миграция данных"
"Опыт настройки интеграции со смежными системами",,"настройка интеграции"
"Опыт самостоятельной подготовки проектной документации",,"подготовка проектной документации"
"Опыт написания функциональных спецификаций для разработчиков",,"функциональные спецификации"
"Знания процессов Производства для металлургии",,"процессы производства|металлургия"
"Использование отладчика и понимание кода программ на Java","java","отладчик|понимание кода"
"Владение инструментами миграции данных SAP S/4 HANA (Migration Cockpit, LSMW)","sap s/4 hana|migration cockpit|lsmw","миграция данных"
"Экспертные знания модуля SAP PP, бaзoвые знaния мoдулей SAP MM, SD, CO, либо модули MNC, MNF, QT в Global ERP. Опыт мигрaции пo дaнным нaпрaвлениям","sap pp|sap mm|sap sd|sap co|global erp|mnc|mnf|qt","миграция данных"
"Настройка конфигурации вариантов SAP (LO-VC)","sap|lo-vc","настройка конфигурации"
"Опыт работы с системами багтрекинга",,"багтрекинг"
"Опыт работы с cистемами управления базами данных (СУБД: Oracle, PostgeSQL, MSSQL)","oracle|postgresql|ms sql","управление базами данных"
"Знание методологий разработки ПО (Agile, Каскад, Итерационная, Инкрементная)","agile","разработка ПО|каскад|итерационная|инкрементная"
"Стандарты работы XML и веб-служб","xml","веб-службы"
"Опыт работы с Web-технологиями",,"web-технологии"
"Гибкие фреймворки Scrum, KanBan","scrum|kanban",
"Навыки работы с ОС Windows и *nix","windows|*nix",
"Опыт тестирования в командах с гибкой моделью разработкой",,"тестирование|гибкая модель разработки"
"Опыт работы с программами удалённого доступа по протоколам RDP/SSH/","rdp|ssh",
"Опыт работы с таск-трекерами и системами управления тестированием (Jira, HP ALM, TSM)","jira|hp alm|tsm","таск-трекеры|управление тестированием"
"Знание в области сетевых технологий",,"сетевые технологии"
"Навыки разработки тестовой модели",,"разработка тестовой модели|тестирование"
"Опыт проведения и координации функционального, интеграционного, регрессионного и автоматизированного тестирования",,"функциональное тестирование|интеграционное тестирование|регрессионное тестирование|автоматизированное тестирование|тестирование"
"Опыт работы с cистемами версионного контроля (Git, SVN)","git|svn","версионный контроль"
"Знание инженерных практик DevOps",,"devops"
"Опыт работы с ПО для организации и реализации процесса автоматизированного тестирования",,"автоматизированное тестирование"
"Опыт автоматизированного тестирования Desktop и Web-решений",,"автоматизированное тестирование|desktop|web"
"Опыт работы с cистемами обеспечения процесса непрерывной интеграции (CI)",,"непрерывная интеграция|ci"
"Практический опыт написания административных скриптов на встроенных в ОС языках BAT/BASH/PS/VBS/JS","bat|bash|ps|vbs|js","административные скрипты"
"Навыки декомпозиции задач на разработку автотестов и проведения автоматизированного тестирования",,"автоматизированное тестирование|декомпозиция задач"
"Опыт написания сложных SQL запросов","sql",
"Знание теории процессов тестирования, умение применять эти знания на практике",,"тестирование|теория процессов тестирования"
"Знания процессов производства и методик тестирования",,"процессы производства|методики тестирования|тестирование"
"Уверенное знание Python и его библиотек для анализа данных","python","анализ данных"
"Продвинутое знание SQL, опыт написания сложных запросов и оптимизации их производительности","sql",
"Опыт проектирования интеграционных решений в среде с 10+ сервисами",,"интеграционные решения|проектирование"
"Координация требований с 10+ независимыми бизнес-командами",,"управление требованиями"
"Опыт работы с XML","xml",
"Опыт работы аналитиком от 3 лет",,"аналитик"
"Опыт работы в области ЭДО",,"ЭДО"
"Опыт самостоятельного ведения задачи от бизнес-требований до релиза",,"бизнес-требования|управление релизом"
"Навык работы с инструментами: Camunda, Postman, OpenAPI (swagger), GitHub","camunda|postman|openapi|swagger|github",
"Знания/выполнение ритуалов методологии Agile",,"Agile"
"Умение определять DOR, DOD и AC доработок",,"dor|dod|ac"
"Умение моделировать UML модели: Use case, Sequence",,"UML|use case|sequence"
"Навык моделирования и автоматизации бизнес-процессов в Camunda","camunda","моделирование бизнес-процессов|автоматизация бизнес-процессов"
"Навык использования/проектирования интеграций REST","rest","интеграции"
"Опыт проектирования с XSD схем, работа с XML","xml|xsd","проектирование"
"Опыт работы/навыки проектирования интеграций с брокером Apache Kafka","apache kafka","интеграции"
"Навык проектирования в СУБД PostgreSQL","postgresql","проектирование"
"Навык написания простых SQL скриптов","sql",
"Знание паттернов архитектуры BFF",,"BFF|паттерны архитектуры"
"Знание нотации описания архитектуры C4",,"C4|архитектура"
"Опыт разбора инцидентов используя логи системы",,"разбор инцидентов|логирование"
"Опыт тестирования веб-сервисов (postman), приемочного тестирования и end2end","postman","тестирование веб-сервисов|приемочное тестирование|end2end"
"Уверенное знание теории тестирования",,"тестирование"
"Уверенное знание основных практик тест-дизайна и умение применять их на практике",,"тест-дизайн|тестирование"
"Знание базовых команд Git","git",
"Хорошие знания SQL (CRUD + join)","sql",
"Уверенные знания REST","rest",
"Уверенные навыки тестирования API",,"тестирование api"
"Опыт функционального, интеграционного и E2E-тестирования",,"функциональное тестирование|интеграционное тестирование|e2e тестирование|тестирование"
"Умение составить тест-план под конкретные цели",,"тест-план|тестирование"
"Понимание особенностей тестирования в микросервисной архитектуре",,"тестирование|микросервисная архитектура"
"Навыки выявления неявных требований",,"выявление требований"
"Уверенные знания Java Core","java",
"Уверенные знания Rest-assured (или аналогов)","rest-assured",
"Уверенные знания JUnit/TestNG или аналогов","junit|testng",
"Понимание ООП",,"ООП"
"Знание основных паттернов проектирования ПО и автотестов в частности",,"паттерны проектирования|автотесты"
"Понимание работы систем сборки приложений",,"системы сборки приложений"
"Понимание основных принципов построения архитектуры фреймворков автоматизации",,"архитектура фреймворков автоматизации|автоматизация"
"Опыт выстраивания автоматизации тестирования с нуля",,"автоматизация тестирования|тестирование"
"Опыт создания/глубокой переработки фреймворков/библиотек",,"фреймворки|библиотеки"
"Умение написать клиенты взаимодействия с базами данных, брокеров сообщений",,"базы данных|брокеры сообщений"
"Анализ требований и выявление расхождений",,"анализ требований"
"Разработка тестовой документации",,"тестовая документация|тестирование"
"Ручное функциональное тестирование",,"ручное тестирование|функциональное тестирование|тестирование"
"Разработка и поддержка автоматизированных тестов",,"автоматизированные тесты|автоматизация|тестирование"
"Проведение интеграционных тестов",,"интеграционное тестирование|тестирование"
"Проведение end-to-end (e2e) тестирования",,"e2e тестирование|тестирование"
"Ручное/Автоматизация - 20/80 (в начале больше ручного, пока нет автоматизации)",,"ручное тестирование|автоматизация|тестирование"
"Опыт с Java","java",
"Понимание принципов работы и управления контейнерами (Docker)","docker",
"Опыт работы с Redis и ClickHouse","redis|clickhouse",
"Опыт работы с Airflow для оркестрации ETL-процессов","airflow","etl"
"Опыт работы с Git","git",
"Знания в области разработки приложений на Django и понимание основ Node.js и React","django|node.js|react",
"Опыт работы с Kubernetes","kubernetes",
"Знание одной из платформ (Android/iOS), в идеале нескольких","android|ios",
"Хорошие фундаментальные знания разработки (алгоритмы не спрашиваем, но понимание о времени выполнения и используемых ресурсах требуется)",,"разработка"
"Участие в доработке фронта мобильного приложения по проектам логистики (ios +android)","ios|android","логистика|мобильная разработка"
"Опыт работы с Kotlin Multiplatform","kotlin multiplatform",
"Опыт работы с Jetpack Compose","jetpack compose",
"Опыт настройки сложного окружения",,"настройка окружения"
"Опыт создания библиотек",,"разработка библиотек"
"Уверенное знание Php (senior)","php",
"Понимание и применение паттернов проектирования",,"паттерны проектирования"
"Опыт работы с WebSocket","websockets",
"Навыки работы с Kafka и Redis","kafka|redis",
"Базовые знания Docker","docker",
"Опыт разработки на Laravel","laravel",
"Опыт работы с highload-системами",,"highload-системы"
"Опыт работы с машинным обучением и анализом данных.",,"машинное обучение|анализ данных"
"Способность выбирать и применять оптимальные алгоритмы для конкретных задач.",,"алгоритмы"
"Навыки разработки кода ML-моделей и реализации пайплайнов для их обучения.",,"ml-модели|пайплайны|обучение"
"Знание методов тюннинга параметров и валидации моделей.",,"тюнинг параметров|валидация моделей"
"Опыт интеграции ML-решений в production-среду.",,"ml-решения|production"
"Умение оптимизировать производительность и масштабируемость систем.",,"оптимизация производительности|масштабируемость систем"
"Владение методами мониторинга технических метрик моделей.",,"мониторинг|технические метрики|модели"
"Опыт проведения глубокого анализа данных",,"анализ данных"
"Навыки feature engineering и оптимизации признаков",,"feature engineering|оптимизация признаков"
"Знание методов проектирования и проведения AB-тестов",,"AB-тестирование"
"Умение разрабатывать отчетность для оценки влияния моделей на бизнес",,"отчетность|бизнес-анализ"
"Владение методами ad-hoc аналитики и способность быстро реагировать на запросы бизнеса",,"ad-hoc аналитика|бизнес-анализ"
"Уверенное знание теории тестирования",,"тестирование"
"Уверенное знание основных практик тест-дизайна и умение применять их на практике",,"тест-дизайн|тестирование"
"Знание базовых команд Git","git",
"Базовые знания SQL (CRUD + join)","sql",
"Уверенные знания REST","rest",
"Уверенные навыки тестирования API",,"тестирование api"
"Опыт тестирования WEB",,"тестирование web"
"Умение настраивать заглушки (Wiremock)","wiremock",
"Опыт функционального, интеграционного и E2E-тестирования",,"функциональное тестирование|интеграционное тестирование|e2e-тестирование|тестирование"
"Знает и понимает, что такое CI/CD, умение встраивать в существующий пайплайн автотесты","ci/cd","автотестирование"
"Понимание особенностей тестирования асинхронных взаимодействий",,"тестирование"
"Уверенные знания JS(ES5+)+TS+node.js","javascript|typescript|node.js",
"Уверенные знания Playwright и Rest-assured (или аналогов)","playwright|rest-assured",
"Уверенные знания Jest или аналогов","jest",
"Понимание основных принципов ООП",,"ооп"
"Знание основных паттернов проектирования ПО и автотестов в частности",,"паттерны проектирования|автотестирование"
"Понимание основных принципов построения архитектуры фреймворков автоматизации",,"автоматизация тестирования"
"Умение работать с брокерами сообщений (Kafka)","kafka",
"Понимание предметной области ЭДО",,"эдо"
"Развитие продукта, чат с LLM","llm","управление продуктом|развитие продукта"
"Сбор и обработка данных",,"сбор данных|обработка данных"
"Формулирование гипотез, проведение A/B тестов",,"a/b тестирование|формулирование гипотез"
"Анализ клиентского поведения и его влияния на основные метрики продукта",,"анализ клиентского поведения|анализ метрик продукта"
"Поиск и внедрение решений для улучшения системы скоринга",,"скоринг|внедрение решений"
"Создание новых и доработка текущих моделей скоринга клиентов",,"скоринг|моделирование"
"Развитие текущей аналитической системы: развитие системы метрик, мониторинга, контроль качества данных",,"аналитическая система|мониторинг|контроль качества данных|развитие системы метрик"
"Разработка технической документации",,"техническая документация|разработка документации"
"Опыт работы в NOC или аналогичной роли от 3 лет",,"noc"
"Знание сетевых протоколов: TCP/IP, DHCP, DNS, HTTP/HTTPS, SNMP","tcp/ip|dhcp|dns|http|snmp",
"Опыт работы с оборудованием Cisco, Juniper, Mikrotik или аналогичным","cisco|juniper|mikrotik",
"Понимание принципов работы маршрутизаторов, коммутаторов, брандмауэров",,"маршрутизаторы|коммутаторы|брандмауэры"
"Навыки работы с системами мониторинга (Nagios, Zabbix, PRTG или аналогичные)","nagios|zabbix|prtg",
"Знание основ операционных систем Windows и Linux","windows|linux",
"Хорошие навыки диагностики и устранения неисправностей","vpn|vlan|nat",
"Умение работать по инструкциям и соблюдать процедуры","bash|powershell",
"Опыт настройки и поддержки VPN, VLAN, NAT","cisco ccna",
"Знание базового скриптинга (Bash, PowerShell)",,"техническая документация"
"Уверенное знание инструментов и технологий платформы .NET: C#, ASP.NET, Blazor, MudBlazor, Aspire",".net|c#|asp .net|blazor|mudblazor|aspire",
"Опыт работы с PostgreSQL","postgresql",
"Опыт работы с keycloack","keycloak",
"Навыки разработки готовых к контейнеризации компонентов","docker|kubernetes",
"Опыт работы с криптографией и блокчейном, финтех",,"криптография|блокчейн|финтех"
"Коммерческий опыт разработки на PHP","php",
"Опыт работы с коробочной версией Bitrix (on-premise)","bitrix",
"Понимание архитектуры 1C-Bitrix: компоненты, модули, события, ORM / HL-блоки","1c|bitrix|orm|hl-блоки",
"Опыт доработки CRM-части (не только сайты)",,"crm"
"Умение работать с БД (MySQL / PostgreSQL)","mysql|postgresql",
"Опыт миграций и обновлений on-premise Bitrix","bitrix",
"Опыт интеграции с 1С / ERP","1с|erp",
"Опыт оптимизации производительности",,"оптимизация производительности"
"Опыт B2B продаж от 2 лет, в IT-аутстаффинге/аутсорсинге","it","b2b продажи|аутстаффинг|аутсорсинг"
"Опыт переговоров с первыми лицами и IT-руководителями","it","переговоры"
"Понимание специфики enterprise-клиентов и длинного цикла сделки",,"enterprise-клиенты|цикл сделки"
"Опыт в банках от 1 года",,"банки"
"Опыт работы разработчиком ETL от 2х лет",,"etl|разработка"
"Продвинутый уровень SQL, опыт оптимизации sql-запросов","sql","оптимизация sql-запросов"
"Опыт разработки в GreenPlum и Oracle, знание PL/SQL","greenplum|oracle|pl/sql","разработка"
"Опыт с ETL инструментами: AirFlow, Informatica IPC","airflow|informatica ipc","etl"
"Опыт работы с большим объемом данных (таблицы с десятками миллиардов записей)",,"работа с большими данными"
"Опыт работы с Python, PySpark","python|pyspark",
"Знание Apache Superset","apache superset",
"Уверенное знание HTML, CSS","html|css",
"Опыт работы с Javascript ES6+, Typescript","javascript|typescript",
"Знание React (классовые, функциональные компоненты)","react",
"Опыт работы с Redux","redux",
"Опыт работы с Webpack","webpack",
"Опыт работы со storybook","storybook",
"Опыт написания тестов (Jest, React Testing Library, Cypress)","jest|react testing library|cypress",
"Знание Python + Flask","python|flask",
"Знание Antd","antd",
"Знание Selenium/Playwright","selenium|playwright",
"Работа с инструментами CI/CD","ci/cd",
"Разработка на React более 2х лет","react|typescript",
"Эффективный и понятный код",,"код-ревью"
"Использование TypeScript","typescript",
"Использование React (функциональные компоненты)","react",
"Использование Gravity UI","gravity ui",
"Предпочтение популярных OpenSource решений (React Hook Form, Zod, React Modal и другие)","react hook form|zod|react modal",
"Сборка с использованием Vite","vite",
"Использование Eslint, Stylelint и Prettier","eslint|stylelint|prettier",
"Дизайнер",,"дизайн"
"Рисует картинку раньше реализации",,"проектирование UI"
"Помогает/ускоряет аналитику (отображает user flow)",,"аналитика|user flow"
"Помогает избежать ошибок в UI на ранних этапах",,"проектирование UI"
"Опыт работы с Figma","figma",
"Опыт построения user flow",,"user flow"
"Опыт проектирования UI",,"проектирование UI"
"Опыт работы с данными не менее 4 лет (middle+), 6 лет (senior)",,"управление данными"
"Глубокое понимание реляционных БД: структура данных, методы загрузки и управления","sql","реляционные БД|управление данными"
"Навыки разработки и оптимизации сложных SQL-запросов, включая использование оконных функций, CTE и маппингов между БД","sql","sql"
"Умение проектировать и создавать модели данных, ориентированные на аналитические задачи и эффективное функционирование DWH",,"моделирование данных|DWH|аналитические задачи"
"Знание принципов нормализации и денормализации, типов схем (звезда, снежинка) и их правильное применение",,"нормализация|денормализация|звезда|снежинка|моделирование данных"
"Способность строить стабильные и масштабируемые модели данных с учётом особенностей источников и целевых систем",,"моделирование данных|масштабируемость"
"Владение методологиями Data Vault и другими современными подходами для обеспечения прозрачности, истории изменений и восстановления данных",,"Data Vault|управление данными|восстановление данных"
"Опыт в документировании моделей и обеспечении их совместимости с процессами ETL/ELT и бизнес-метриками",,"документирование|ETL|ELT|бизнес-метрики|моделирование данных"
"Способность управлять изменениями моделей при росте объёмов данных и корректировках аналитических требований",,"моделирование данных|управление данными"
"Навыки создания и поддержки ETL/ELT конвейеров",,"ETL|ELT"
"Умение разрабатывать модели данных и трансформации с помощью dbt, знание SQL и шаблонизации в dbt","dbt|sql","моделирование данных|шаблонизация"
"Опыт оркестрации процессов средствами Apache Airflow, настройка DAG, автоматизация и мониторинг ETL задач","apache airflow","ETL|автоматизация|мониторинг|orchestration"
"Понимание методологии и практик DataOps для версионирования моделей, тестирования, мониторинга и безопасного разворачивания",,"DataOps|версионирование|тестирование|мониторинг"
"Владение навыками документирования процессов и работы с технической документацией",,"документирование"
"Практический опыт работы с языком программирования: Python","python",
"Практический опыт работы с объектным хранилищем: S3","s3",
"Практический опыт работы со стримингом данных: Kafka","kafka","стриминг данных"
"Практический опыт работы с реляционными СУБД: Postgres, MSSQL","postgres|ms sql","реляционные СУБД"
"Практический опыт работы с NoSQL: MongoDB","mongodb","NoSQL"
"Практический опыт работы с аналитической СУБД: Clickhouse","clickhouse","аналитические СУБД"
"Способность работать в кросс-функциональной команде","git|docker",
"Понимание бизнес-задач",,"финтех"
"Опыт на PHP от 3 лет","php",
"Опыт покрытия кода Unit и интеграционными тестами",,"unit-тестирование|интеграционное тестирование"
"Умение делать отладку кода (xDebug, xhProf)","xdebug|xhprof",
"Умение анализировать и документировать функционал legacy‑систем (восстановление требований, моделей и схем интеграций по legacy коду и данным без документации)",,"анализ legacy-систем|документирование функционала|восстановление требований|моделирование|схемы интеграций|реверс-инжиниринг"
"Знание и соблюдение стандартов PSR‑12, PSR‑4","psr-12|psr-4",
"Уверенные знания ООП и основных шаблонов проектирования",,"ООП|шаблоны проектирования"
"Опыт проектирования и разработки REST API, gRPC","rest api|grpc","проектирование|разработка"
"SQL","sql",
"MySQL","mysql",
"Kafka / RabbitMQ / ActiveMQ","kafka|rabbitmq|activemq",
"Docker","docker",
"Навык уверенной работы в Linux консоли","linux",
"Git","git",
"Jira","jira",
"Confluence","confluence",
"Коммерческий опыт с высокоуровневым языками (Golang, Java и тд) в прошлом или параллельно с PHP","golang|java",
"PostgreSQL","postgresql",
"Swagger","swagger",
"Опыт работы с промышленными BPM-платформами (Camunda, Kogito, Flowable или аналогичными)","camunda|kogito|flowable","bpm"
"Опыт в области реверс-инжиниринга баз данных и восстановлении бизнес-логики",,"реверс-инжиниринг|восстановление бизнес-логики"
"Jenkins или аналоги","jenkins",
"Backend.Kotlin разработчик М+","kotlin","backend"
"Хорошие знания фреймворка Spring Boot","spring boot",
"Понимание и практический опыт в микросервисной архитектуре",,"микросервисная архитектура"
"Опыт в observability",,"observability"
"Реализация бизнес задач",,"бизнес-анализ"
"Рефакторинг кода",,"рефакторинг"
"Код ревью",,"код-ревью"
"Настройка инструментов observability внутри продуктов",,"observability"
"Опыт работы в тестировании от 3 лет",,"тестирование"
"Знание Python (middle разработчик или выше)","python","разработка"
"Знание операционной системы Linux на уровне опытного пользователя","linux",
"Знание SQL: практика использования одной из СУБД на уровне написания запросов средней сложности, умение читать и разбирать sql процедуры","sql",
"Опыт разработки автотестов с использованием pytest и request не менее 2х лет","pytest|request","автотестирование|разработка"
"Опыт работы с системами контроля версий, CI инструментами","git","ci"
"Знакомство с GitLab, Jenkins, Groovy, REST","gitlab|jenkins|groovy|rest",
"Знания биржевой тематики или желание погрузится в данную тему",,"биржевая тематика"
"Опыт использования allure framework","allure framework",
"Опыт работы в тестировании от 3 лет",,"тестирование"
"Знание Python (middle разработчик или выше)","python",
"Знание операционной системы Linux на уровне опытного пользователя","linux",
"Знание SQL (практика использования одной из СУБД на уровне написания запросов средней сложности, умение читать и разбирать sql процедуры)","sql",
"Опыт разработки автотестов с использованием pytest и request не менее 2х лет","pytest|request","автотестирование"
"Опыт работы с системами контроля версий, CI инструментами","git","ci"
"Знакомство с GitLab, Jenkins, Groovy, REST","gitlab|jenkins|groovy|rest",
"Знания биржевой тематики или желание погрузится в данную тему",,"биржевая тематика"
"Опыт использования allure framework","allure framework",
"Уверенное владение языком Rust","rust",
"Опыт разработки backend-приложений",,"backend-разработка"
"Понимание принципов построения веб-сервисов",,"веб-сервисы"
"Умение работать с базами данных",,"базы данных"
"Опыт разработки на Go от 5 лет","go",
"Глубокое понимание внутренних механизмов языка (goroutines, channels, memory model, profiling)","go",
"Уверенные знания принципов построения высоконагруженных систем",,"высоконагруженные системы"
"Опыт проектирования и оптимизации распределённых сервисов с миллионами запросов в сутки",,"распределённые сервисы"
"Опыт работы с системами шифрования и безопасного хранения данных",,"шифрование|безопасное хранение данных"
"Понимание симметричных и асимметричных алгоритмов, HSM, KMS, PKI, TLS","hsm|kms|pki|tls","симметричные алгоритмы|асимметричные алгоритмы"
"Знание современных подходов к проектированию API и сервисов (REST, gRPC)","rest|grpc","api"
"Опыт работы с протоколами сериализации данных (protobuf, msgpack, JSON)","protobuf|msgpack|json",
"Опыт работы с очередями и потоковой обработкой данных (Kafka, RabbitMQ или аналоги)","kafka|rabbitmq","очереди|потоковая обработка данных"
"Опыт профилирования и оптимизации производительности кода",,"оптимизация производительности"
"Навыки работы с инструментами pprof, trace, benchtests","pprof|trace|benchtests",
"Понимание принципов CI/CD и контейнеризации",,"ci/cd|контейнеризация"
"Опыт использования Docker, Kubernetes, GitLab CI или Jenkins","docker|kubernetes|gitlab ci|jenkins",
"Знание принципов безопасной разработки (OWASP, Data Protection by Design)","owasp","безопасная разработка|data protection by design"
"Навыки безопасного обращения с секретами и ключами",,"секреты|ключи"
"Опыт работы с современными системами хранения данных (PostgreSQL, ClickHouse, Redis или аналоги)","postgresql|clickhouse|redis","хранение данных"
"Опыт командной работы по Agile-методологиям",,"agile"
"Опыт работы с Jira/Kaiten, code review, стандартами кодирования и документирования","jira|kaiten","code review|стандарты кодирования|документирование"
"Опыт разработки сервисов, связанных с криптографией, токенизацией или безопасными вычислениями",,"криптография|токенизация|безопасные вычисления"
"Опыт использования cloud KMS (AWS, GCP, Yandex Cloud)","aws|gcp|yandex cloud|kms",
"Опыт работы с аппаратными модулями безопасности (HSM)","hsm",
"Понимание сетевых протоколов и сетевой безопасности",,"сетевые протоколы|сетевая безопасность"
"Участие в open source проектах на Go","go","open source"
"Интерес к построению fault-tolerant и secure-by-design архитектур",,"fault-tolerant|secure-by-design"
"Уверенное знание C# (NET Core & NET5/6/8 , ASP. NET Core (Swagger, RESTfull), EF Core, Rabbit, XUnit)","c#|.net core|.net 5/6/8|asp.net core|swagger|restfull|ef core|rabbit|xunit",
"Разработка back-компонент на С# net.core (WebAPI, MQ)","c#|net.core|webapi|mq",
"Разработка intranet решений (React и пр.)","react",
"Опыт использования: Jira, Confluence, Git или их аналогов","jira|confluence|git",
"Работа по Agile",,"agile"
"Хорошее знание MS SQL, Postgres","ms sql|postgres",
"знание различного рода альтернативных инструментов Docker, Kubernetes","docker|kubernetes",
"Знание предметной области (банки, финансы)",,"банки|финансы"
"Знание T-SQL","t-sql",
"C#","c#",
"Git","git",
"Docker","docker",
"Jira","jira",
"Confluence","confluence",
"agile",,"agile"
"React","react",
"T-SQL","t-sql",
"MQ","mq",
"RESTfull","restfull",
"WebAPI","webapi",
"swagger","swagger",
"ASP .Net Core","asp.net core",
"EF Core","ef core",
"XUnit","xunit",
"NET Core",".net core",
"NET5/6/8",".net 5/6/8",
"Rabbit","rabbit",
"высоконагруженные сервисы",,"высоконагруженные сервисы"
"Глубокое знание Kotlin и стандартных компонентов Android.","kotlin|android",
"Знание принципов ООП и понимание паттернов проектирования.",,"ООП|паттерны проектирования"
"Уверенное знание основных паттернов разработки под Android, особенностей различных версий ОС и устройств.","android","паттерны разработки"
"Опыт работы с Jetpack compose от 1 года.","jetpack compose",
"Отличное знание Google Material Design.","google material design",
"Уверенное знание, опыт работы с различными типами API - REST, GraphQL.","rest|graphql","api"
"Опыт интеграции сторонних библиотек.",,"интеграция библиотек"
"Опыт интеграции систем аналитики - Amplitude, Google, Firebase.","amplitude|google|firebase","аналитика"
"Опыт работы с различными базами данных - Realm, SQLite, понимание их сильных и слабых сторон.","realm|sqlite","базы данных"
"Опыт работы с системами сбора данных о падениях приложения, опыт расследования падений.",,"сбор данных|расследование падений"
"Опыт написания unit тестов",,"unit тесты"
"Опыт в FinTech приветствуется",,"FinTech"
"Владение одним из языков программирования (Java, Groovy), знание принципов ООП, умение читать чужой код.","java|groovy","ООП|чтение кода"
"Сборка проекта, компиляция и деплой в Rancher. (Docker).","rancher|docker",
"Опыт проектирования, реализации, развития и поддержки интеграционных решений на стеке технологий BigData.","bigdata","проектирование|реализация|развитие|поддержка|интеграционные решения"
"Знание SQL (индексы, функции, умение читать планы запросов, оптимизация запросов).","sql","индексы|функции|чтение планов запросов|оптимизация запросов"
